interval_frameComposited_VideoEncoded,interval_VideoReceivedByClient_VideoDecoded,interval_network,(client_stats.video_decoder_queue.as_secs_f32()*1000.).to_string(),(client_stats.rendering.as_secs_f32()*1000.).to_string(),(client_stats.vsync_queue.as_secs_f32()*1000.).to_string(),interval_total_pipeline,target_bitrate,plr,bitrate_statistics,total_packets_send,average_packet_size,shard_loss_rate,client_stats.bytes_count.to_string(),frame_send_timestamp,first_packet_arrive,last_packet_arrive,frame_arrive_timestamp,total_size_for_this_frame,total_packets_for_this_frame,timestamp_delta_string,arrival_time_delta_ms_string,packet_size_delta_string,network_estimate,threshold_c,m_trend,target_bitrate_bps_inrtc,current_state,next_state,bitrate_pass_to_webrtc,difference.to_string(),last_decrease,link_lower,link_upper,link_has_estimate,link_estimate,link_devia,test_thr,input_thr,bitrate_estimate_rtc.to_string(),gradient_c.to_string(),delta.to_string(),self.state.to_string(),frame.target_timestamp.as_nanos().to_string(),client_stats.flag_debug.to_string(),client_stats.is_idr.to_string(),AIMD_MANGER.lock().normalize_delta.to_string(),experiment_target_timestamp
3.7791998,7.0534887,6.075129,2.8447921,5.798229,30.715406,59.620144,40,,0.639936,5,7999,0,7444,1723190685936183,1712552971218378,1712552971218418,1712552971218435,7444,1,0,0,0,normal,0,0,29.296875,hold,hold,0,11223040,0,0,inf,false,,0.4,0,31457280,0,0,65373.77777777778,1,11620650776711,0,true,1.52796630859375,20240809_160445
4.1532,4.868802,5.67003,4.4172907,0.61156297,35.80236,59.68575,40,,0,0,,0,7444,1723190685950449,1712552971232952,1712552971233012,1712552971233033,7444,1,14.266,14.574,0,normal,12.5,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,65373.77777777778,1,11620664637909,0,true,1.79554443359375,20240809_160445
3.8906,2.603073,4.19041,6.143854,0.584792,35.440495,59.178722,40,,0.16616,2,5192,0,163,1723190685965808,1712552971247810,1712552971247838,1712552971247850,163,1,15.359,14.858,0,normal,12.5,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,72654.77777777778,1,11620678587180,0,false,1.9955230712890626,20240809_160445
3.9209998,3.057396,3.8362908,7.7522917,0.647344,34.69836,59.66768,40,,,,,0,10222,1723190685977899,1712552971260249,1712552971260331,1712552971260355,10222,1,12.091000000000001,12.439,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,62595.77777777778,1,11620732173882,0,false,1.719244384765625,20240809_160445
4.2347,3.1590111,3.455579,8.454895,0.553542,33.92822,64.33265,40,,,,,0,9822,1723190685992178,1712552971274165,1712552971274244,1712552971274305,9822,1,14.279,13.916,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,62995.77777777778,1,11620741392268,0,false,1.730230712890625,20240809_160446
5.0417,2.606511,5.8935122,8.308699,0.61744803,33.070503,59.608475,40,,,,,0,1009,1723190686006187,1712552971289641,1712552971289671,1712552971289685,1009,1,14.009,15.476,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,71808.77777777778,1,11620767819878,0,false,1.9722869873046875,20240809_160446
4.4367003,3.4112499,4.8576,10.923437,0.56099004,32.395176,59.67085,40,,,,,0,10330,1723190686019246,1712552971300774,1712552971300863,1712552971300886,10330,1,13.059000000000001,11.133000000000001,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,62487.77777777778,1,11620784491544,0,false,1.716278076171875,20240809_160446
3.9567997,3.947969,4.165106,9.56026,0.72182304,31.610697,59.464653,40,,,,,0,10516,1723190686033654,1712552971316107,1712552971316196,1712552971316224,10516,1,14.408,15.333,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,62301.77777777778,1,11620799704705,0,false,1.71116943359375,20240809_160446
4.0912,3.031719,3.047067,12.5876045,0.674323,31.096434,59.60675,40,,,,,0,6076,1723190686047068,1712552971328502,1712552971328547,1712552971328566,6076,1,13.414,12.395,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,66741.77777777778,1,11620814592452,0,false,1.83311767578125,20240809_160446
4.1988997,2.940417,5.403771,13.373177,0.963646,30.283882,59.62789,40,,,,,0,6731,1723190686060788,1712552971342189,1712552971342245,1712552971342285,6731,1,13.72,13.687000000000001,0,normal,6,0,40,hold,hold,0,0,0,0,inf,false,,0.4,0,60981248,60981248,0,66086.77777777778,1,11620828466306,0,false,1.8151275634765625,20240809_160446
